,price,wheelbase,curbweight,enginesize,boreratio,horsepower,fueleconomy,carlength,carwidth,fueltype_gas,aspiration_turbo,carbody_hardtop,carbody_hatchback,carbody_sedan,carbody_wagon,drivewheel_fwd,drivewheel_rwd,enginetype_dohcv,enginetype_l,enginetype_ohc,enginetype_ohcf,enginetype_ohcv,enginetype_rotor,cylindernumber_five,cylindernumber_four,cylindernumber_six,cylindernumber_three,cylindernumber_twelve,cylindernumber_two,company_price_medium,company_price_high
32,5399,93.7,1837,79,2.91,60,39.800000000000004,150.0,64.0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
33,6529,93.7,1940,92,2.91,76,31.8,150.0,64.0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
34,7129,93.7,1956,92,2.91,76,31.8,150.0,64.0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
35,7295,96.5,2010,92,2.91,76,31.8,163.4,64.0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
36,7295,96.5,2024,92,2.92,76,31.8,157.1,63.9,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
37,7895,96.5,2236,110,3.15,86,29.700000000000003,167.5,65.2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
38,9095,96.5,2289,110,3.15,86,29.700000000000003,167.5,65.2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
39,8845,96.5,2304,110,3.15,86,29.700000000000003,175.4,65.2,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
40,10295,96.5,2372,110,3.15,86,29.700000000000003,175.4,62.5,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
41,12945,96.5,2465,110,3.15,101,25.8,175.4,65.2,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
42,10345,96.5,2293,110,3.15,100,27.700000000000003,169.1,66.0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
43,6785,94.3,2337,111,3.31,78,26.25,170.7,61.8,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
44,8916,94.5,1874,90,3.03,70,40.25,155.9,63.6,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
45,8916,94.5,1909,90,3.03,70,40.25,155.9,63.6,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
46,11048,96.0,2734,119,3.43,90,26.25,172.6,65.2,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
47,32250,113.0,4066,258,3.63,176,16.8,199.6,69.6,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
48,35550,113.0,4066,258,3.63,176,16.8,199.6,69.6,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
49,36000,102.0,3950,326,3.54,262,14.8,191.7,70.6,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
50,5195,93.1,1890,91,3.03,68,30.450000000000003,159.1,64.2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
51,6095,93.1,1900,91,3.03,68,34.150000000000006,159.1,64.2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
52,6795,93.1,1905,91,3.03,68,34.150000000000006,159.1,64.2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
53,6695,93.1,1945,91,3.03,68,34.150000000000006,166.8,64.2,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
54,7395,93.1,1950,91,3.08,68,34.150000000000006,166.8,64.2,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
55,10945,95.3,2380,70,3.33,101,19.700000000000003,169.0,65.7,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
56,11845,95.3,2380,70,3.33,101,19.700000000000003,169.0,65.7,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
57,13645,95.3,2385,70,3.33,101,19.700000000000003,169.0,65.7,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
58,15645,95.3,2500,80,3.33,135,19.15,169.0,65.7,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
59,8845,98.8,2385,122,3.39,84,28.700000000000003,177.8,66.5,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
60,8495,98.8,2410,122,3.39,84,28.700000000000003,177.8,66.5,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
61,10595,98.8,2385,122,3.39,84,28.700000000000003,177.8,66.5,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
62,10245,98.8,2410,122,3.39,84,28.700000000000003,177.8,66.5,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
63,10795,98.8,2443,122,3.39,64,38.7,177.8,66.5,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
64,11245,98.8,2425,122,3.39,84,28.700000000000003,177.8,66.5,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
65,18280,104.9,2670,140,3.76,120,22.6,175.0,66.1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
66,18344,104.9,2700,134,3.43,72,34.6,175.0,66.1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
67,25552,110.0,3515,183,3.58,123,23.35,190.9,70.3,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
68,28248,110.0,3750,183,3.58,123,23.35,190.9,70.3,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
69,28176,106.7,3495,183,3.58,123,23.35,187.5,70.3,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
70,31600,115.6,3770,183,3.58,123,23.35,202.6,71.7,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
71,34184,115.6,3740,234,3.46,155,16.9,202.6,71.7,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
72,35056,96.6,3685,234,3.46,155,16.9,180.3,70.5,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
73,40960,120.9,3900,308,3.8,184,14.900000000000002,208.1,71.7,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
74,45400,112.0,3715,304,3.8,184,14.900000000000002,199.2,72.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
75,16503,102.7,2910,140,3.78,175,21.25,178.4,68.0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
76,5389,93.7,1918,92,2.97,68,38.8,157.3,64.4,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
77,6189,93.7,1944,92,2.97,68,34.150000000000006,157.3,64.4,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
78,6669,93.7,2004,92,2.97,68,34.150000000000006,157.3,64.4,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
79,7689,93.0,2145,98,3.03,102,26.700000000000003,157.3,63.8,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
80,9959,96.3,2370,110,3.17,116,26.15,173.0,65.4,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
81,8499,96.3,2328,122,3.35,88,28.150000000000002,173.0,65.4,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
82,12629,95.9,2833,156,3.58,145,21.25,173.2,66.3,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
83,14869,95.9,2921,156,3.59,145,21.25,173.2,66.3,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
84,14489,95.9,2926,156,3.59,145,21.25,173.2,66.3,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
85,6989,96.3,2365,122,3.35,88,28.150000000000002,172.4,65.4,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
86,8189,96.3,2405,122,3.35,88,28.150000000000002,172.4,65.4,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
87,9279,96.3,2403,110,3.17,116,26.15,172.4,65.4,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
88,9279,96.3,2403,110,3.17,116,26.15,172.4,65.4,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
89,5499,94.5,1889,97,3.15,69,33.7,165.3,63.8,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
90,7099,94.5,2017,103,2.99,55,47.25,165.3,63.8,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
91,6649,94.5,1918,97,3.15,69,33.7,165.3,63.8,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
92,6849,94.5,1938,97,3.15,69,33.7,165.3,63.8,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
93,7349,94.5,2024,97,3.15,69,33.7,170.2,63.8,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
94,7299,94.5,1951,97,3.15,69,33.7,165.3,63.8,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
95,7799,94.5,2028,97,3.15,69,33.7,165.6,63.8,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
96,7499,94.5,1971,97,3.15,69,33.7,165.3,63.8,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
97,7999,94.5,2037,97,3.15,69,33.7,170.2,63.8,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
98,8249,95.1,2008,97,3.15,69,33.7,162.4,63.8,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
99,8949,97.2,2324,120,3.33,97,30.150000000000002,173.4,65.2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
100,9549,97.2,2302,120,3.33,97,30.150000000000002,173.4,65.2,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
101,13499,100.4,3095,181,3.43,152,19.25,181.7,66.5,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
102,14399,100.4,3296,181,3.43,152,19.25,184.6,66.5,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
103,13499,100.4,3060,181,3.43,152,21.700000000000003,184.6,66.5,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
104,17199,91.3,3071,181,3.43,160,21.700000000000003,170.7,67.9,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
105,19699,91.3,3139,181,3.43,200,19.700000000000003,170.7,67.9,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
106,18399,99.2,3139,181,3.43,160,21.700000000000003,178.5,67.9,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
107,11900,107.9,3020,120,3.46,97,21.25,186.7,68.4,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
108,13200,107.9,3197,152,3.7,95,30.25,186.7,68.4,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
109,12440,114.2,3230,120,3.46,97,21.25,198.9,68.4,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
110,13860,114.2,3430,152,3.7,95,25.0,198.9,68.4,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
111,15580,107.9,3075,120,3.46,95,21.25,186.7,68.4,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
112,16900,107.9,3252,152,3.7,95,30.25,186.7,68.4,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
113,16695,114.2,3285,120,3.46,95,21.25,198.9,68.4,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
114,17075,114.2,3485,152,3.7,95,25.0,198.9,68.4,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
115,16630,107.9,3075,120,3.46,97,21.25,186.7,68.4,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
116,17950,107.9,3252,152,3.7,95,30.25,186.7,68.4,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
117,18150,108.0,3130,134,3.61,142,20.700000000000003,186.7,68.3,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
118,5572,93.7,1918,90,2.97,68,38.8,157.3,63.8,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
119,7957,93.7,2128,98,3.03,102,26.700000000000003,157.3,63.8,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
120,6229,93.7,1967,90,2.97,68,34.150000000000006,157.3,63.8,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
121,6692,93.7,1989,90,2.97,68,34.150000000000006,167.3,63.8,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
122,7609,93.7,2191,98,2.97,68,34.150000000000006,167.3,63.8,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
123,8921,103.3,2535,122,3.35,88,26.700000000000003,174.6,64.6,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
124,12764,95.9,2818,156,3.59,145,21.25,173.2,66.3,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
125,22018,94.5,2778,151,3.94,143,22.6,168.9,68.3,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
126,32528,89.5,2756,194,3.74,207,20.6,168.9,65.0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
127,34028,89.5,2756,194,3.74,207,20.6,168.9,65.0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
128,37028,89.5,2800,194,3.74,207,20.6,168.9,65.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
129,31400,98.4,3366,203,3.94,288,21.950000000000003,175.7,72.3,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
130,9295,96.1,2579,132,3.46,90,26.6,181.5,66.5,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
131,9895,96.1,2460,132,3.46,90,26.6,176.8,66.6,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
132,11850,99.1,2658,121,3.54,110,24.15,186.6,66.5,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
133,12170,99.1,2695,121,3.54,110,24.15,186.6,66.5,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
134,15040,99.1,2707,121,2.54,110,24.15,186.6,66.5,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
135,15510,99.1,2758,121,3.54,110,24.15,186.6,66.5,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
136,18150,99.1,2808,121,3.54,160,22.150000000000002,186.6,66.5,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
137,18620,99.1,2847,121,3.54,160,22.150000000000002,186.6,66.5,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
138,5118,93.7,2050,97,3.62,69,33.25,156.9,63.4,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
139,7053,93.7,2120,108,3.62,73,28.25,157.9,63.6,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
140,7603,93.3,2240,108,3.62,73,28.25,157.3,63.8,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
141,7126,97.2,2145,108,3.62,82,34.25,172.0,65.4,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
142,7775,97.2,2190,108,3.62,82,30.25,172.0,65.4,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
143,9960,97.2,2340,108,3.62,94,28.700000000000003,172.0,65.4,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
144,9233,97.0,2385,108,3.62,82,24.450000000000003,172.0,65.4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
145,11259,97.0,2510,108,3.62,111,26.25,172.0,65.4,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
146,7463,97.0,2290,108,3.62,82,29.800000000000004,173.5,65.4,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
147,10198,97.0,2455,108,3.62,94,27.700000000000003,173.5,65.4,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
148,8013,96.9,2420,108,3.62,82,25.700000000000003,173.6,65.4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
149,11694,96.9,2650,108,3.62,111,23.0,173.6,65.4,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
150,5348,95.7,1985,92,3.05,62,36.8,158.7,63.6,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
151,6338,95.7,2040,92,3.05,62,34.150000000000006,158.7,63.6,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
152,6488,95.7,2015,92,3.05,62,34.150000000000006,158.7,63.6,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
153,6918,95.7,2280,92,3.05,62,33.7,169.7,63.6,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
154,7898,95.7,2290,92,3.05,62,29.25,169.7,63.6,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
155,8778,95.7,3110,92,3.05,62,29.25,169.7,63.6,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
156,6938,95.7,2081,98,3.19,70,33.150000000000006,166.3,64.4,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
157,7198,95.7,2109,98,3.19,70,33.150000000000006,166.3,64.4,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
158,7898,95.7,2275,110,3.27,56,34.900000000000006,166.3,64.4,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
159,7788,95.7,2275,110,3.27,56,42.050000000000004,166.3,64.4,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
160,7738,95.7,2094,98,3.19,70,42.050000000000004,166.3,64.4,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
161,8358,95.7,2122,98,3.19,70,30.700000000000003,166.3,64.4,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
162,9258,95.7,2140,98,3.19,70,30.700000000000003,166.3,64.4,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
163,8058,94.5,2169,98,3.19,70,31.25,168.7,64.0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
164,8238,94.5,2204,98,3.19,70,31.25,168.7,64.0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
165,9298,94.5,2265,98,3.24,112,27.35,168.7,64.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
166,9538,94.5,2300,98,3.24,112,27.35,168.7,64.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
167,8449,98.4,2540,146,3.62,116,26.700000000000003,176.2,65.6,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
168,9639,98.4,2536,146,3.62,116,26.700000000000003,176.2,65.6,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
169,9989,98.4,2551,146,3.62,116,26.700000000000003,176.2,65.6,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
170,11199,98.4,2679,146,3.62,116,26.700000000000003,176.2,65.6,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
171,11549,98.4,2714,146,3.62,116,26.700000000000003,176.2,65.6,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
172,17669,98.4,2975,146,3.62,116,26.700000000000003,176.2,65.6,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
